id_vuelta,nombre_piloto,circuito,numero_vuelta,tiempo_vuelta
1,Lewis Hamilton,Circuito de Albert Park,1,80.06
2,George Russell,Circuito de Albert Park,1,81.05
3,Max Verstappen,Circuito de Albert Park,1,83.38
4,Sergio Perez,Circuito de Albert Park,1,81.42
5,Charles Leclerc,Circuito de Albert Park,1,83.84
6,Carlos Sainz,Circuito de Albert Park,1,83.19
7,Lando Norris,Circuito de Albert Park,1,83.18
8,Daniel Ricciardo,Circuito de Albert Park,1,81.01
9,Fernando Alonso,Circuito de Albert Park,1,82.32
10,Lance Stroll,Circuito de Albert Park,1,83.92
11,Esteban Ocon,Circuito de Albert Park,1,80.94
12,Pierre Gasly,Circuito de Albert Park,1,81.28
13,Valtteri Bottas,Circuito de Albert Park,1,80.72
14,Zhou Guanyu,Circuito de Albert Park,1,83.59
15,Kevin Magnussen,Circuito de Albert Park,1,84.58
16,Mick Schumacher,Circuito de Albert Park,1,80.31
17,Yuki Tsunoda,Circuito de Albert Park,1,83.85
18,Nyck de Vries,Circuito de Albert Park,1,81.83
19,Alexander Albon,Circuito de Albert Park,1,82.89
20,Logan Sargeant,Circuito de Albert Park,1,83.49
21,Lewis Hamilton,Circuito de Albert Park,2,80.12
22,George Russell,Circuito de Albert Park,2,83.48
23,Max Verstappen,Circuito de Albert Park,2,84.38
24,Sergio Perez,Circuito de Albert Park,2,81.22
25,Charles Leclerc,Circuito de Albert Park,2,82.11
26,Carlos Sainz,Circuito de Albert Park,2,84.74
27,Lando Norris,Circuito de Albert Park,2,84.23
28,Daniel Ricciardo,Circuito de Albert Park,2,82.86
29,Fernando Alonso,Circuito de Albert Park,2,84.39
30,Lance Stroll,Circuito de Albert Park,2,83.54
31,Esteban Ocon,Circuito de Albert Park,2,84.44
32,Pierre Gasly,Circuito de Albert Park,2,84.98
33,Valtteri Bottas,Circuito de Albert Park,2,83.47
34,Zhou Guanyu,Circuito de Albert Park,2,82.24
35,Kevin Magnussen,Circuito de Albert Park,2,80.88
36,Mick Schumacher,Circuito de Albert Park,2,81.27
37,Yuki Tsunoda,Circuito de Albert Park,2,81.95
38,Nyck de Vries,Circuito de Albert Park,2,81.24
39,Alexander Albon,Circuito de Albert Park,2,84.56
40,Logan Sargeant,Circuito de Albert Park,2,80.6
41,Lewis Hamilton,Circuito de Albert Park,3,80.98
42,George Russell,Circuito de Albert Park,3,84.68
43,Max Verstappen,Circuito de Albert Park,3,81.12
44,Sergio Perez,Circuito de Albert Park,3,82.53
45,Charles Leclerc,Circuito de Albert Park,3,84.07
46,Carlos Sainz,Circuito de Albert Park,3,82.67
47,Lando Norris,Circuito de Albert Park,3,82.24
48,Daniel Ricciardo,Circuito de Albert Park,3,80.47
49,Fernando Alonso,Circuito de Albert Park,3,81.87
50,Lance Stroll,Circuito de Albert Park,3,81.14
51,Esteban Ocon,Circuito de Albert Park,3,84.75
52,Pierre Gasly,Circuito de Albert Park,3,83.26
53,Valtteri Bottas,Circuito de Albert Park,3,81.69
54,Zhou Guanyu,Circuito de Albert Park,3,84.89
55,Kevin Magnussen,Circuito de Albert Park,3,83.04
56,Mick Schumacher,Circuito de Albert Park,3,83.19
57,Yuki Tsunoda,Circuito de Albert Park,3,83.38
58,Nyck de Vries,Circuito de Albert Park,3,83.02
59,Alexander Albon,Circuito de Albert Park,3,82.41
60,Logan Sargeant,Circuito de Albert Park,3,80.05
61,Lewis Hamilton,Circuito de Albert Park,4,83.69
62,George Russell,Circuito de Albert Park,4,81.85
